timestamp, ax(m/s^2), ay(m/s^2), omega_z(rad/s)
1703098100545385472,-4.220040,13.123875,0.580202
1703098100562031360,-4.483028,12.996460,0.560975
1703098100578656512,-4.188855,12.872254,0.555478
1703098100595354112,-3.938748,12.810721,0.551324
1703098100612001024,-3.802426,12.718110,0.551823
1703098100620428288,-3.933099,12.778153,0.553221
1703098100628678144,-3.986302,12.743161,0.551160
1703098100637108480,-3.742416,12.653012,0.552595
1703098100645332736,-3.888517,12.673223,0.551164
1703098100653817600,-3.640530,12.591353,0.554300
1703098100661974528,-3.784741,12.624022,0.554743
1703098100670460160,-3.605260,12.551250,0.555860
1703098100678734592,-3.711473,12.529242,0.556639
1703098100687108096,-3.513282,12.435959,0.558075
1703098100695452928,-3.659692,12.508924,0.557742
1703098100703696640,-3.489476,12.373160,0.559505
1703098100712126464,-3.621655,12.457385,0.559039
1703098100720408576,-3.451735,12.349175,0.560099
1703098100728825088,-3.362987,12.289165,0.564088
1703098100737034496,-3.489929,12.323059,0.562519
1703098100745588480,-3.357903,12.267062,0.566073
1703098100753728512,-3.227479,12.179287,0.568835
1703098100762216192,-3.416035,12.217403,0.568018
1703098100770355968,-3.251854,12.147794,0.571021
1703098100778863360,-3.164165,12.095802,0.573138
1703098100787023872,-3.116886,12.100803,0.576142
1703098100795557120,-3.243232,12.119476,0.576899
1703098100812179200,-3.099386,12.066356,0.580051
1703098100828761088,-2.945616,12.005299,0.582928
1703098100845506816,-2.868561,11.914737,0.587860
1703098100853701120,-2.841588,11.902724,0.588325
1703098100862081280,-2.822764,11.827877,0.590234
1703098100870458624,-2.801778,11.859493,0.590716
1703098100878743296,-2.787850,11.821010,0.592654
1703098100887191552,-2.746904,11.892883,0.594217
1703098100895396352,-2.674746,11.845070,0.594189
1703098100903810816,-2.727700,11.841275,0.596415
1703098100912040960,-2.704499,11.797169,0.597836
1703098100920575488,-2.686690,11.826376,0.598561
1703098100928716800,-2.704925,11.832202,0.596482
